Date,CPU Utilization,CPU Power
2022-10-28 19:18:44,0.98747,4.50385
2022-10-28 19:18:45,0.83208,3.91914
2022-10-28 19:18:46,0.30576,2.09901
2022-10-28 19:18:47,0.25189,1.91265
2022-10-28 19:18:48,0.25126,1.90057
2022-10-28 19:18:49,0.25063,1.90826
2022-10-28 19:18:50,0.25063,1.88870
2022-10-28 19:18:51,0.25126,1.90057
2022-10-28 19:18:52,0.25063,1.90826
2022-10-28 19:18:53,0.25126,1.87205
2022-10-28 19:18:54,0.25189,1.93298
2022-10-28 19:18:55,0.24937,1.87416
2022-10-28 19:18:56,0.25126,1.92051
2022-10-28 19:18:57,0.25063,1.90826
2022-10-28 19:18:58,0.25189,1.93298
2022-10-28 19:18:59,0.25000,1.90608
2022-10-28 19:19:00,0.25189,1.93298
2022-10-28 19:19:01,0.25126,1.92051
2022-10-28 19:19:02,0.25126,1.92051
2022-10-28 19:19:03,0.25126,1.92051
2022-10-28 19:19:04,0.25063,1.90826
2022-10-28 19:19:05,0.25126,1.92051
2022-10-28 19:19:06,0.25063,1.90826
2022-10-28 19:19:07,0.25126,1.92051
2022-10-28 19:19:08,0.25126,1.92051
2022-10-28 19:19:09,0.25126,1.93077
2022-10-28 19:19:10,0.25126,1.92051
2022-10-28 19:19:11,0.25126,1.92051
2022-10-28 19:19:12,0.25063,1.91832
2022-10-28 19:19:13,0.25063,1.90826
2022-10-28 19:19:14,0.25189,1.93298
2022-10-28 19:19:15,0.25063,1.90826
2022-10-28 19:19:16,0.25126,1.92051
2022-10-28 19:19:18,0.25126,1.92051
2022-10-28 19:19:19,0.25126,1.92051
2022-10-28 19:19:20,0.25189,1.93298
2022-10-28 19:19:21,0.25441,1.97366
2022-10-28 19:19:22,0.25063,1.93905
2022-10-28 19:19:23,0.25441,1.95230
2022-10-28 19:19:24,0.25063,1.91832
2022-10-28 19:19:25,0.25126,1.92051
2022-10-28 19:19:26,0.25126,1.92051
2022-10-28 19:19:27,0.24874,1.90131
2022-10-28 19:19:28,0.25063,1.90826
2022-10-28 19:19:29,0.25441,1.95230
2022-10-28 19:19:30,0.25126,1.92051
2022-10-28 19:19:31,0.25126,1.91045
2022-10-28 19:19:32,0.25063,1.86986
2022-10-28 19:19:33,0.25126,1.92051
2022-10-28 19:19:34,0.25126,1.92051
2022-10-28 19:19:35,0.25063,1.90826
2022-10-28 19:19:36,0.25063,1.91832
2022-10-28 19:19:37,0.25189,1.93298
2022-10-28 19:19:38,0.25126,1.92051
2022-10-28 19:19:39,0.25063,1.90826
2022-10-28 19:19:40,0.25126,1.92051
2022-10-28 19:19:41,0.25126,1.92051
2022-10-28 19:19:42,0.25063,1.90826
2022-10-28 19:19:43,0.25126,1.92051
2022-10-28 19:19:44,0.25126,1.92051
2022-10-28 19:19:45,0.25126,1.92051
2022-10-28 19:19:46,0.25126,1.92051
2022-10-28 19:19:47,0.25126,1.92051
2022-10-28 19:19:48,0.25000,1.90608
2022-10-28 19:19:49,0.25126,1.92051
2022-10-28 19:19:50,0.25126,1.92051
2022-10-28 19:19:51,0.25063,1.90826
2022-10-28 19:19:52,0.25063,1.90826
2022-10-28 19:19:53,0.25189,1.93298
2022-10-28 19:19:54,0.25063,1.90826
2022-10-28 19:19:55,0.25063,1.90826
2022-10-28 19:19:56,0.25126,1.92051
2022-10-28 19:19:57,0.25063,1.90826
2022-10-28 19:19:58,0.25063,1.91832
2022-10-28 19:19:59,0.25189,1.95412
2022-10-28 19:20:00,0.25126,1.92051
2022-10-28 19:20:01,0.25126,1.92051
2022-10-28 19:20:02,0.25126,1.92051
2022-10-28 19:20:03,0.25063,1.90826
2022-10-28 19:20:04,0.25189,1.93298
2022-10-28 19:20:05,0.25063,1.90826
2022-10-28 19:20:06,0.25063,1.90826
2022-10-28 19:20:07,0.25126,1.92051
2022-10-28 19:20:08,0.25063,1.90826
2022-10-28 19:20:09,0.25126,1.92051
2022-10-28 19:20:10,0.25189,1.93298
2022-10-28 19:20:11,0.25250,1.91517
2022-10-28 19:20:12,0.25189,1.93298
2022-10-28 19:20:13,0.25063,1.90826
2022-10-28 19:20:14,0.25063,1.91832
2022-10-28 19:20:15,0.25126,1.92051
2022-10-28 19:20:16,0.25126,1.92051
2022-10-28 19:20:17,0.25189,1.93298
2022-10-28 19:20:18,0.25000,1.90608
2022-10-28 19:20:19,0.25189,1.93298
2022-10-28 19:20:20,0.25126,1.92051
2022-10-28 19:20:21,0.25063,1.90826
2022-10-28 19:20:22,0.25189,1.93298
2022-10-28 19:20:23,0.25063,1.90826
2022-10-28 19:20:24,0.25126,1.92051
2022-10-28 19:20:25,0.25126,1.92051
2022-10-28 19:20:26,0.25000,1.90608
2022-10-28 19:20:27,0.24874,1.90131
2022-10-28 19:20:28,0.25250,1.91517
2022-10-28 19:20:29,0.25126,1.92051
2022-10-28 19:20:30,0.25063,1.90826
2022-10-28 19:20:31,0.25189,1.93298
2022-10-28 19:20:32,0.25063,1.90826
2022-10-28 19:20:33,0.25126,1.92051
2022-10-28 19:20:34,0.25126,1.92051
2022-10-28 19:20:35,0.25063,1.91832
2022-10-28 19:20:36,0.25126,1.95192
2022-10-28 19:20:37,0.25189,1.93298
2022-10-28 19:20:38,0.25126,1.92051
