__run_id,__done,algorithm,language,runtime,id,energy_usage,execution_time,memory_usage,cpu_usage,storage
run_71,DONE,spectral-norm,rust,wasmtime,1,706.089,369320,0.9,98.747,2061071
run_155,DONE,nbody,go,wasmtime,5,213.24,111960,1.098,99.464,245403
run_131,DONE,nbody,rust,wasmtime,1,207.5,108950,0.802,98.528,2059234
run_156,DONE,nbody,go,wasmtime,6,213.079,111920,1.098,97.108,245403
run_57,DONE,binarytrees,c,wasmtime,7,936.771,489520,1.399,99.916,30077
run_34,DONE,binarytrees,go,wasmtime,4,3314.542,1729560,2.798,99.975,209167
run_24,DONE,binarytrees,go,wasmer,4,3037.642,1585210,2.599,99.817,209167
run_157,DONE,nbody,go,wasmtime,7,213.018,111930,1.098,99.684,245403
run_106,DONE,spectral-norm,c,wasmer,6,459.09,239710,0.5,99.45,20542
run_46,DONE,binarytrees,c,wasmer,6,923.347,482430,1.0,99.823,30077
run_174,DONE,nbody,c,wasmtime,4,364.988,191440,0.9,99.07,17334
run_2,DONE,binarytrees,rust,wasmer,2,193.831,101840,1.099,97.902,2032739
run_154,DONE,nbody,go,wasmtime,4,213.207,111960,1.099,97.824,245403
run_33,DONE,binarytrees,go,wasmtime,3,3315.493,1730570,2.798,99.924,209167
run_132,DONE,nbody,rust,wasmtime,2,207.458,108900,0.8,98.351,2059234
run_7,DONE,binarytrees,rust,wasmer,7,193.954,101820,1.099,100.23,2032739
run_12,DONE,binarytrees,rust,wasmtime,2,201.471,105640,1.198,100.11,2032739
run_88,DONE,spectral-norm,go,wasmer,8,184.288,96810,1.084,99.91,250426
run_74,DONE,spectral-norm,rust,wasmtime,4,706.933,369300,0.9,99.999,2061071
run_55,DONE,binarytrees,c,wasmtime,5,937.301,489740,1.399,99.849,30077
run_78,DONE,spectral-norm,rust,wasmtime,8,706.665,369360,0.9,98.772,2061071
run_64,DONE,spectral-norm,rust,wasmer,4,693.233,362610,0.9,99.871,2061071
run_53,DONE,binarytrees,c,wasmtime,3,937.032,489740,1.4,99.756,30077
run_140,DONE,nbody,go,wasmer,0,184.414,96910,0.9,100.124,245403
run_91,DONE,spectral-norm,go,wasmtime,1,201.794,105740,1.199,96.431,250426
run_84,DONE,spectral-norm,go,wasmer,4,184.31,96850,1.082,100.152,250426
run_69,DONE,spectral-norm,rust,wasmer,9,693.473,362650,0.9,98.79,2061071
run_8,DONE,binarytrees,rust,wasmer,8,193.986,101840,1.099,100.187,2032739
run_77,DONE,spectral-norm,rust,wasmtime,7,706.423,369350,0.9,99.996,2061071
run_40,DONE,binarytrees,c,wasmer,0,923.387,482230,1.0,99.833,30077
run_124,DONE,nbody,rust,wasmer,4,213.182,112000,0.8,98.787,2059234
run_126,DONE,nbody,rust,wasmer,6,213.169,111860,0.8,96.575,2059234
run_66,DONE,spectral-norm,rust,wasmer,6,693.276,362530,0.8,99.875,2061071
run_26,DONE,binarytrees,go,wasmer,6,3037.23,1585140,2.599,99.893,209167
run_120,DONE,nbody,rust,wasmer,0,213.082,111920,0.8,100.013,2059234
run_137,DONE,nbody,rust,wasmtime,7,207.327,108880,0.802,99.199,2059234
run_94,DONE,spectral-norm,go,wasmtime,4,201.427,105710,1.183,98.321,250426
run_68,DONE,spectral-norm,rust,wasmer,8,693.221,362600,0.8,99.175,2061071
run_62,DONE,spectral-norm,rust,wasmer,2,693.129,362620,0.9,98.945,2061071
run_37,DONE,binarytrees,go,wasmtime,7,3316.469,1730990,2.798,99.624,209167
run_13,DONE,binarytrees,rust,wasmtime,3,201.622,105600,1.198,97.902,2032739
run_79,DONE,spectral-norm,rust,wasmtime,9,708.539,370010,0.9,98.734,2061071
run_75,DONE,spectral-norm,rust,wasmtime,5,708.393,369990,0.9,99.801,2061071
run_147,DONE,nbody,go,wasmer,7,184.401,96890,0.9,97.861,245403
run_123,DONE,nbody,rust,wasmer,3,213.181,111950,0.8,98.928,2059234
run_145,DONE,nbody,go,wasmer,5,184.387,96900,0.9,96.82,245403
run_45,DONE,binarytrees,c,wasmer,5,923.408,482280,1.0,99.49,30077
run_101,DONE,spectral-norm,c,wasmer,1,458.829,239640,0.5,100.091,20542
run_25,DONE,binarytrees,go,wasmer,5,3033.7,1584420,2.599,99.749,209167
run_11,DONE,binarytrees,rust,wasmtime,1,201.649,105600,1.198,99.305,2032739
run_15,DONE,binarytrees,rust,wasmtime,5,201.693,105600,1.296,98.904,2032739
run_164,DONE,nbody,c,wasmer,4,397.494,207680,0.4,98.946,17334
run_36,DONE,binarytrees,go,wasmtime,6,3312.953,1729480,2.798,99.876,209167
run_1,DONE,binarytrees,rust,wasmer,1,193.916,101840,1.099,100.08,2032739
run_31,DONE,binarytrees,go,wasmtime,1,3312.958,1729610,2.798,99.963,209167
run_141,DONE,nbody,go,wasmer,1,184.541,96890,0.9,96.251,245403
run_153,DONE,nbody,go,wasmtime,3,213.179,111950,1.098,98.136,245403
run_59,DONE,binarytrees,c,wasmtime,9,936.941,489310,1.399,99.98,30077
