Date,CPU Utilization,Total Power,CPU Power,GPU Power
2022-10-28 20:20:13,0.25879,1.97813,1.97813,0.00000
2022-10-28 20:20:14,0.25564,1.96716,1.96716,0.00000
2022-10-28 20:20:15,0.25628,1.96939,1.96939,0.00000
2022-10-28 20:20:16,0.25879,1.97813,1.97813,0.00000
2022-10-28 20:20:17,0.25879,1.97813,1.97813,0.00000
2022-10-28 20:20:18,0.25758,1.97389,1.97389,0.00000
2022-10-28 20:20:19,0.25879,1.97813,1.97813,0.00000
2022-10-28 20:20:20,0.25879,1.97813,1.97813,0.00000
2022-10-28 20:20:21,0.25879,1.97813,1.97813,0.00000
2022-10-28 20:20:22,0.26065,1.98459,1.98459,0.00000
2022-10-28 20:20:23,0.25945,1.98039,1.98039,0.00000
2022-10-28 20:20:24,0.25945,1.98039,1.98039,0.00000
2022-10-28 20:20:25,0.25879,1.97813,1.97813,0.00000
2022-10-28 20:20:26,0.25879,1.97813,1.97813,0.00000
2022-10-28 20:20:27,0.25815,1.97587,1.97587,0.00000
2022-10-28 20:20:28,0.25879,1.97813,1.97813,0.00000
2022-10-28 20:20:29,0.25693,1.97163,1.97163,0.00000
2022-10-28 20:20:30,0.26131,1.98686,1.98686,0.00000
2022-10-28 20:20:31,0.25879,1.97813,1.97813,0.00000
2022-10-28 20:20:32,0.26065,1.98459,1.98459,0.00000
2022-10-28 20:20:33,0.25879,1.97813,1.97813,0.00000
2022-10-28 20:20:34,0.25879,1.97813,1.97813,0.00000
2022-10-28 20:20:35,0.26065,1.98459,1.98459,0.00000
2022-10-28 20:20:36,0.25879,1.97813,1.97813,0.00000
2022-10-28 20:20:37,0.26065,1.98459,1.98459,0.00000
2022-10-28 20:20:38,0.25879,1.97813,1.97813,0.00000
2022-10-28 20:20:39,0.26065,1.98459,1.98459,0.00000
2022-10-28 20:20:40,0.25628,1.96939,1.96939,0.00000
2022-10-28 20:20:41,0.26065,1.98459,1.98459,0.00000
2022-10-28 20:20:42,0.25879,1.97813,1.97813,0.00000
2022-10-28 20:20:43,0.25879,1.97813,1.97813,0.00000
2022-10-28 20:20:44,0.25879,1.97813,1.97813,0.00000
2022-10-28 20:20:45,0.25693,1.97163,1.97163,0.00000
2022-10-28 20:20:46,0.25879,1.97813,1.97813,0.00000
2022-10-28 20:20:47,0.26065,1.98459,1.98459,0.00000
2022-10-28 20:20:48,0.26250,1.99101,1.99101,0.00000
2022-10-28 20:20:49,0.25693,1.97163,1.97163,0.00000
2022-10-28 20:20:50,0.25879,1.97813,1.97813,0.00000
2022-10-28 20:20:51,0.25564,1.96716,1.96716,0.00000
2022-10-28 20:20:52,0.25441,1.96288,1.96288,0.00000
2022-10-28 20:20:53,0.25879,1.97813,1.97813,0.00000
2022-10-28 20:20:54,0.27318,2.02816,2.02816,0.00000
2022-10-28 20:20:55,0.25879,1.97813,1.97813,0.00000
2022-10-28 20:20:56,0.25879,1.97813,1.97813,0.00000
2022-10-28 20:20:57,0.25815,1.97587,1.97587,0.00000
2022-10-28 20:20:58,0.25693,1.97163,1.97163,0.00000
2022-10-28 20:20:59,0.25879,1.97813,1.97813,0.00000
2022-10-28 20:21:00,0.25879,1.97813,1.97813,0.00000
2022-10-28 20:21:01,0.26065,1.98459,1.98459,0.00000
2022-10-28 20:21:02,0.25879,1.97813,1.97813,0.00000
2022-10-28 20:21:03,0.26065,1.98459,1.98459,0.00000
2022-10-28 20:21:04,0.25693,1.97163,1.97163,0.00000
2022-10-28 20:21:05,0.25945,1.98039,1.98039,0.00000
2022-10-28 20:21:06,0.26131,1.98686,1.98686,0.00000
2022-10-28 20:21:07,0.25628,1.96939,1.96939,0.00000
2022-10-28 20:21:08,0.26065,1.98459,1.98459,0.00000
2022-10-28 20:21:09,0.25815,1.97587,1.97587,0.00000
2022-10-28 20:21:10,0.25693,1.97163,1.97163,0.00000
2022-10-28 20:21:11,0.26250,1.99101,1.99101,0.00000
2022-10-28 20:21:12,0.25693,1.97163,1.97163,0.00000
2022-10-28 20:21:13,0.25879,1.97813,1.97813,0.00000
2022-10-28 20:21:14,0.25879,1.97813,1.97813,0.00000
2022-10-28 20:21:15,0.25879,1.97813,1.97813,0.00000
