Date,CPU Utilization,CPU Power
2022-10-29 08:38:26,0.25253,1.92492
2022-10-29 08:38:27,0.25,1.93687
2022-10-29 08:38:28,0.25126,1.93077
2022-10-29 08:38:29,0.25126,1.91045
2022-10-29 08:38:30,0.25,1.92641
2022-10-29 08:38:31,0.25126,1.91045
2022-10-29 08:38:32,0.25126,1.92051
2022-10-29 08:38:33,0.25126,1.92051
2022-10-29 08:38:34,0.25126,1.93077
2022-10-29 08:38:35,0.2475,1.89698
2022-10-29 08:38:36,0.25,1.90608
2022-10-29 08:38:37,0.25253,1.93519
2022-10-29 08:38:38,0.25,1.91614
2022-10-29 08:38:39,0.25126,1.91045
2022-10-29 08:38:40,0.25126,1.92051
2022-10-29 08:38:41,0.25,1.90608
2022-10-29 08:38:42,0.25,1.90608
2022-10-29 08:38:43,0.25253,1.93519
2022-10-29 08:38:44,0.25,1.90608
2022-10-29 08:38:45,0.25126,1.92051
2022-10-29 08:38:46,0.25126,1.91045
2022-10-29 08:38:47,0.25126,1.92051
2022-10-29 08:38:48,0.25,1.91614
2022-10-29 08:38:49,0.25253,1.92492
2022-10-29 08:38:50,0.25,1.91614
2022-10-29 08:38:51,0.25126,1.91045
2022-10-29 08:38:52,0.25126,1.92051
2022-10-29 08:38:53,0.25126,1.92051
2022-10-29 08:38:54,0.25253,1.92492
2022-10-29 08:38:55,0.25,1.91614
2022-10-29 08:38:56,0.25253,1.91486
2022-10-29 08:38:57,0.25377,1.93972
2022-10-29 08:38:58,0.25126,1.92051
2022-10-29 08:38:59,0.25126,1.92051
2022-10-29 08:39:00,0.25,1.90608
2022-10-29 08:39:01,0.25,1.91614
2022-10-29 08:39:02,0.25253,1.92492
2022-10-29 08:39:03,0.25126,1.92051
2022-10-29 08:39:04,0.25126,1.93077
2022-10-29 08:39:05,0.25,1.93676
2022-10-29 08:39:06,0.25377,1.92955
2022-10-29 08:39:07,0.25253,1.92492
2022-10-29 08:39:08,0.25,1.91614
2022-10-29 08:39:09,0.25126,1.92051
2022-10-29 08:39:10,0.25126,1.92051
2022-10-29 08:39:11,0.24874,1.90131
2022-10-29 08:39:12,0.25377,1.93972
2022-10-29 08:39:13,0.25253,1.93519
