Date,CPU Utilization,Total Power,CPU Power,GPU Power
2022-10-29 05:16:14,0.25758,1.97389,1.97389,0.00000
2022-10-29 05:16:15,0.25628,1.96939,1.96939,0.00000
2022-10-29 05:16:16,0.25500,1.96493,1.96493,0.00000
2022-10-29 05:16:17,0.25758,1.97389,1.97389,0.00000
2022-10-29 05:16:18,0.25879,1.97813,1.97813,0.00000
2022-10-29 05:16:19,0.26010,1.98267,1.98267,0.00000
2022-10-29 05:16:20,0.25750,1.97363,1.97363,0.00000
2022-10-29 05:16:21,0.26000,1.98232,1.98232,0.00000
2022-10-29 05:16:22,0.26131,1.98686,1.98686,0.00000
2022-10-29 05:16:23,0.25628,1.96939,1.96939,0.00000
2022-10-29 05:16:24,0.25750,1.97363,1.97363,0.00000
2022-10-29 05:16:25,0.26010,1.98267,1.98267,0.00000
2022-10-29 05:16:26,0.25750,1.97363,1.97363,0.00000
2022-10-29 05:16:27,0.25879,1.97813,1.97813,0.00000
2022-10-29 05:16:28,0.26131,1.98686,1.98686,0.00000
2022-10-29 05:16:29,0.25879,1.97813,1.97813,0.00000
2022-10-29 05:16:30,0.25628,1.96939,1.96939,0.00000
2022-10-29 05:16:31,0.26131,1.98686,1.98686,0.00000
2022-10-29 05:16:32,0.26000,1.98232,1.98232,0.00000
2022-10-29 05:16:33,0.26000,1.98232,1.98232,0.00000
2022-10-29 05:16:34,0.25750,1.97363,1.97363,0.00000
2022-10-29 05:16:35,0.26131,1.98686,1.98686,0.00000
2022-10-29 05:16:36,0.25628,1.96939,1.96939,0.00000
2022-10-29 05:16:37,0.26131,1.98686,1.98686,0.00000
2022-10-29 05:16:38,0.25879,1.97813,1.97813,0.00000
2022-10-29 05:16:39,0.26131,1.98686,1.98686,0.00000
2022-10-29 05:16:40,0.25879,1.97813,1.97813,0.00000
2022-10-29 05:16:41,0.25879,1.97813,1.97813,0.00000
2022-10-29 05:16:42,0.25879,1.97813,1.97813,0.00000
2022-10-29 05:16:43,0.25750,1.97363,1.97363,0.00000
2022-10-29 05:16:44,0.26000,1.98232,1.98232,0.00000
2022-10-29 05:16:45,0.25758,1.97389,1.97389,0.00000
2022-10-29 05:16:46,0.26131,1.98686,1.98686,0.00000
2022-10-29 05:16:47,0.25628,1.96939,1.96939,0.00000
2022-10-29 05:16:48,0.25879,1.97813,1.97813,0.00000
2022-10-29 05:16:49,0.26010,1.98267,1.98267,0.00000
2022-10-29 05:16:50,0.25628,1.96939,1.96939,0.00000
2022-10-29 05:16:51,0.26131,1.98686,1.98686,0.00000
2022-10-29 05:16:52,0.25377,1.96065,1.96065,0.00000
2022-10-29 05:16:53,0.25750,1.97363,1.97363,0.00000
2022-10-29 05:16:54,0.25628,1.96939,1.96939,0.00000
2022-10-29 05:16:55,0.26131,1.98686,1.98686,0.00000
2022-10-29 05:16:56,0.25628,1.96939,1.96939,0.00000
2022-10-29 05:16:57,0.25879,1.97813,1.97813,0.00000
2022-10-29 05:16:58,0.26131,1.98686,1.98686,0.00000
2022-10-29 05:16:59,0.25879,1.97813,1.97813,0.00000
2022-10-29 05:17:00,0.26000,1.98232,1.98232,0.00000
2022-10-29 05:17:01,0.26131,1.98686,1.98686,0.00000
2022-10-29 05:17:02,0.27020,2.01780,2.01780,0.00000
2022-10-29 05:17:03,0.26000,1.98232,1.98232,0.00000
2022-10-29 05:17:04,0.25879,1.97813,1.97813,0.00000
2022-10-29 05:17:05,0.25628,1.96939,1.96939,0.00000
2022-10-29 05:17:06,0.26131,1.98686,1.98686,0.00000
2022-10-29 05:17:07,0.26750,2.00840,2.00840,0.00000
2022-10-29 05:17:08,0.25758,1.97389,1.97389,0.00000
2022-10-29 05:17:09,0.25879,1.97813,1.97813,0.00000
2022-10-29 05:17:10,0.26000,1.98232,1.98232,0.00000
2022-10-29 05:17:11,0.25758,1.97389,1.97389,0.00000
2022-10-29 05:17:12,0.25750,1.97363,1.97363,0.00000
2022-10-29 05:17:13,0.25758,1.97389,1.97389,0.00000
2022-10-29 05:17:14,0.26131,1.98686,1.98686,0.00000
2022-10-29 05:17:15,0.25628,1.96939,1.96939,0.00000
2022-10-29 05:17:16,0.26131,1.98686,1.98686,0.00000
2022-10-29 05:17:17,0.25879,1.97813,1.97813,0.00000
2022-10-29 05:17:18,0.26000,1.98232,1.98232,0.00000
2022-10-29 05:17:19,0.25879,1.97813,1.97813,0.00000
2022-10-29 05:17:20,0.26131,1.98686,1.98686,0.00000
2022-10-29 05:17:21,0.25879,1.97813,1.97813,0.00000
2022-10-29 05:17:22,0.25879,1.97813,1.97813,0.00000
2022-10-29 05:17:23,0.25758,1.97389,1.97389,0.00000
2022-10-29 05:17:24,0.25628,1.96939,1.96939,0.00000
2022-10-29 05:17:25,0.25879,1.97813,1.97813,0.00000
2022-10-29 05:17:26,0.25879,1.97813,1.97813,0.00000
2022-10-29 05:17:27,0.25750,1.97363,1.97363,0.00000
2022-10-29 05:17:28,0.26131,1.98686,1.98686,0.00000
