Date,CPU Utilization,CPU Power
2022-10-29 02:45:16,0.25126,1.92051
2022-10-29 02:45:17,0.25253,1.95633
2022-10-29 02:45:18,0.25126,1.93077
2022-10-29 02:45:19,0.25126,1.91045
2022-10-29 02:45:20,0.25126,1.92051
2022-10-29 02:45:21,0.25253,1.92492
2022-10-29 02:45:22,0.25,1.91614
2022-10-29 02:45:23,0.25253,1.93519
2022-10-29 02:45:24,0.25,1.91614
2022-10-29 02:45:25,0.25253,1.88579
2022-10-29 02:45:26,0.25,1.91614
2022-10-29 02:45:27,0.25126,1.92051
2022-10-29 02:45:28,0.25126,1.92051
2022-10-29 02:45:29,0.25126,1.92051
2022-10-29 02:45:30,0.25253,1.92492
2022-10-29 02:45:31,0.2525,1.9353
2022-10-29 02:45:32,0.24874,1.90131
2022-10-29 02:45:33,0.25377,1.92955
2022-10-29 02:45:34,0.25,1.91614
2022-10-29 02:45:35,0.25253,1.92492
2022-10-29 02:45:36,0.25253,1.93519
2022-10-29 02:45:37,0.25,1.91614
2022-10-29 02:45:38,0.25126,1.92051
2022-10-29 02:45:39,0.25253,1.93519
2022-10-29 02:45:40,0.25,1.90608
2022-10-29 02:45:41,0.25126,1.92051
2022-10-29 02:45:42,0.25126,1.92051
2022-10-29 02:45:43,0.25126,1.92051
2022-10-29 02:45:44,0.25,1.91614
2022-10-29 02:45:45,0.25126,1.92051
2022-10-29 02:45:46,0.25,1.91614
2022-10-29 02:45:47,0.25253,1.93519
2022-10-29 02:45:48,0.25126,1.92051
2022-10-29 02:45:49,0.25,1.90608
2022-10-29 02:45:50,0.25126,1.92051
2022-10-29 02:45:51,0.25126,1.92051
2022-10-29 02:45:52,0.25,1.91614
2022-10-29 02:45:53,0.25253,1.92492
2022-10-29 02:45:54,0.25,1.93687
2022-10-29 02:45:55,0.25,1.92641
2022-10-29 02:45:56,0.25,1.90608
2022-10-29 02:45:57,0.25126,1.92051
2022-10-29 02:45:58,0.24874,1.90131
2022-10-29 02:45:59,0.25,1.91614
2022-10-29 02:46:00,0.25126,1.92051
2022-10-29 02:46:01,0.25377,1.93972
2022-10-29 02:46:02,0.25,1.90567
2022-10-29 02:46:03,0.25126,1.93077
2022-10-29 02:46:04,0.25,1.90608
2022-10-29 02:46:05,0.25126,1.92051
2022-10-29 02:46:06,0.25,1.90608
2022-10-29 02:46:07,0.25126,1.92051
2022-10-29 02:46:08,0.25126,1.92051
2022-10-29 02:46:09,0.25126,1.92051
2022-10-29 02:46:10,0.25,1.90608
2022-10-29 02:46:11,0.25126,1.92051
2022-10-29 02:46:12,0.25,1.91614
2022-10-29 02:46:13,0.25253,1.92492
2022-10-29 02:46:14,0.25,1.90608
2022-10-29 02:46:15,0.25,1.91614
2022-10-29 02:46:16,0.25126,1.92051
2022-10-29 02:46:17,0.25126,1.93077
2022-10-29 02:46:18,0.25126,1.92051
2022-10-29 02:46:19,0.25126,1.92051
2022-10-29 02:46:20,0.25253,1.92492
2022-10-29 02:46:21,0.25126,1.91045
2022-10-29 02:46:22,0.25253,1.92492
2022-10-29 02:46:23,0.25,1.91614
2022-10-29 02:46:24,0.25126,1.92051
2022-10-29 02:46:25,0.25126,1.92051
2022-10-29 02:46:26,0.25126,1.93077
2022-10-29 02:46:27,0.25,1.90608
2022-10-29 02:46:28,0.25253,1.92492
2022-10-29 02:46:29,0.25,1.91614
2022-10-29 02:46:30,0.25126,1.92051
2022-10-29 02:46:31,0.25,1.91614
2022-10-29 02:46:32,0.25253,1.95633
2022-10-29 02:46:33,0.25126,1.93077
2022-10-29 02:46:34,0.25126,1.92051
2022-10-29 02:46:35,0.25253,1.92492
2022-10-29 02:46:36,0.25253,1.92492
2022-10-29 02:46:37,0.2525,1.9353
2022-10-29 02:46:38,0.25,1.91614
2022-10-29 02:46:39,0.25253,1.92492
2022-10-29 02:46:40,0.2475,1.85824
2022-10-29 02:46:41,0.25253,1.92492
2022-10-29 02:46:42,0.25,1.91614
2022-10-29 02:46:43,0.25253,1.93519
2022-10-29 02:46:44,0.25,1.90608
2022-10-29 02:46:45,0.25,1.90608
2022-10-29 02:46:46,0.25253,1.92492
2022-10-29 02:46:47,0.25253,1.92492
2022-10-29 02:46:48,0.25,1.90608
2022-10-29 02:46:49,0.25,1.91614
2022-10-29 02:46:50,0.25126,1.91045
2022-10-29 02:46:51,0.25253,1.93519
2022-10-29 02:46:52,0.25126,1.91045
2022-10-29 02:46:53,0.25,1.91614
2022-10-29 02:46:54,0.25253,1.93519
2022-10-29 02:46:55,0.25,1.8962
2022-10-29 02:46:56,0.25126,1.93077
2022-10-29 02:46:57,0.25,1.90608
2022-10-29 02:46:58,0.25126,1.92051
2022-10-29 02:46:59,0.25126,1.92051
2022-10-29 02:47:00,0.2525,1.9353
2022-10-29 02:47:01,0.25253,1.92492
