Date,CPU Utilization,Total Power,CPU Power,GPU Power
2022-10-29 04:29:11,0.25758,1.97389,1.97389,0.00000
2022-10-29 04:29:12,0.25750,1.97363,1.97363,0.00000
2022-10-29 04:29:13,0.25500,1.96493,1.96493,0.00000
2022-10-29 04:29:14,0.25758,1.97389,1.97389,0.00000
2022-10-29 04:29:15,0.26000,1.98232,1.98232,0.00000
2022-10-29 04:29:16,0.25879,1.97813,1.97813,0.00000
2022-10-29 04:29:17,0.25750,1.97363,1.97363,0.00000
2022-10-29 04:29:18,0.26010,1.98267,1.98267,0.00000
2022-10-29 04:29:19,0.25750,1.97363,1.97363,0.00000
2022-10-29 04:29:20,0.26000,1.98232,1.98232,0.00000
2022-10-29 04:29:21,0.25879,1.97813,1.97813,0.00000
2022-10-29 04:29:22,0.26131,1.98686,1.98686,0.00000
2022-10-29 04:29:23,0.25750,1.97363,1.97363,0.00000
2022-10-29 04:29:24,0.25879,1.97813,1.97813,0.00000
2022-10-29 04:29:25,0.25879,1.97813,1.97813,0.00000
2022-10-29 04:29:27,0.25628,1.96939,1.96939,0.00000
2022-10-29 04:29:28,0.25879,1.97813,1.97813,0.00000
2022-10-29 04:29:29,0.25758,1.97389,1.97389,0.00000
2022-10-29 04:29:30,0.26000,1.98232,1.98232,0.00000
2022-10-29 04:29:31,0.25628,1.96939,1.96939,0.00000
2022-10-29 04:29:32,0.25879,1.97813,1.97813,0.00000
2022-10-29 04:29:33,0.25879,1.97813,1.97813,0.00000
2022-10-29 04:29:34,0.25750,1.97363,1.97363,0.00000
2022-10-29 04:29:35,0.26010,1.98267,1.98267,0.00000
2022-10-29 04:29:36,0.26000,1.98232,1.98232,0.00000
2022-10-29 04:29:37,0.25628,1.96939,1.96939,0.00000
2022-10-29 04:29:38,0.26000,1.98232,1.98232,0.00000
2022-10-29 04:29:39,0.25758,1.97389,1.97389,0.00000
2022-10-29 04:29:40,0.26000,1.98232,1.98232,0.00000
2022-10-29 04:29:41,0.25879,1.97813,1.97813,0.00000
2022-10-29 04:29:42,0.26000,1.98232,1.98232,0.00000
2022-10-29 04:29:43,0.26768,2.00902,2.00902,0.00000
2022-10-29 04:29:44,0.26131,1.98686,1.98686,0.00000
2022-10-29 04:29:45,0.25879,1.97813,1.97813,0.00000
2022-10-29 04:29:46,0.25750,1.97363,1.97363,0.00000
2022-10-29 04:29:47,0.26000,1.98232,1.98232,0.00000
2022-10-29 04:29:48,0.26010,1.98267,1.98267,0.00000
2022-10-29 04:29:49,0.25750,1.97363,1.97363,0.00000
2022-10-29 04:29:50,0.25879,1.97813,1.97813,0.00000
2022-10-29 04:29:51,0.25505,1.96511,1.96511,0.00000
2022-10-29 04:29:52,0.25628,1.96939,1.96939,0.00000
2022-10-29 04:29:53,0.25628,1.96939,1.96939,0.00000
2022-10-29 04:29:54,0.26000,1.98232,1.98232,0.00000
2022-10-29 04:29:55,0.25879,1.97813,1.97813,0.00000
2022-10-29 04:29:56,0.25879,1.97813,1.97813,0.00000
2022-10-29 04:29:57,0.26131,1.98686,1.98686,0.00000
2022-10-29 04:29:58,0.25879,1.97813,1.97813,0.00000
2022-10-29 04:29:59,0.26000,1.98232,1.98232,0.00000
2022-10-29 04:30:00,0.25758,1.97389,1.97389,0.00000
2022-10-29 04:30:01,0.25879,1.97813,1.97813,0.00000
2022-10-29 04:30:02,0.25750,1.97363,1.97363,0.00000
2022-10-29 04:30:03,0.25879,1.97813,1.97813,0.00000
2022-10-29 04:30:04,0.26131,1.98686,1.98686,0.00000
2022-10-29 04:30:05,0.25758,1.97389,1.97389,0.00000
2022-10-29 04:30:06,0.26000,1.98232,1.98232,0.00000
2022-10-29 04:30:07,0.25628,1.96939,1.96939,0.00000
2022-10-29 04:30:08,0.26131,1.98686,1.98686,0.00000
2022-10-29 04:30:09,0.25500,1.96493,1.96493,0.00000
2022-10-29 04:30:10,0.25879,1.97813,1.97813,0.00000
2022-10-29 04:30:11,0.25879,1.97813,1.97813,0.00000
2022-10-29 04:30:12,0.25879,1.97813,1.97813,0.00000
2022-10-29 04:30:13,0.26000,1.98232,1.98232,0.00000
2022-10-29 04:30:14,0.25758,1.97389,1.97389,0.00000
2022-10-29 04:30:15,0.25750,1.97363,1.97363,0.00000
2022-10-29 04:30:16,0.25750,1.97363,1.97363,0.00000
2022-10-29 04:30:17,0.26131,1.98686,1.98686,0.00000
2022-10-29 04:30:18,0.26131,1.98686,1.98686,0.00000
2022-10-29 04:30:19,0.25628,1.96939,1.96939,0.00000
2022-10-29 04:30:20,0.26131,1.98686,1.98686,0.00000
2022-10-29 04:30:21,0.25879,1.97813,1.97813,0.00000
2022-10-29 04:30:22,0.26000,1.98232,1.98232,0.00000
2022-10-29 04:30:23,0.25628,1.96939,1.96939,0.00000
2022-10-29 04:30:24,0.26010,1.98267,1.98267,0.00000
2022-10-29 04:30:25,0.26000,1.98232,1.98232,0.00000
2022-10-29 04:30:26,0.25628,1.96939,1.96939,0.00000
2022-10-29 04:30:27,0.25758,1.97389,1.97389,0.00000
2022-10-29 04:30:28,0.26000,1.98232,1.98232,0.00000
2022-10-29 04:30:29,0.25377,1.96065,1.96065,0.00000
2022-10-29 04:30:30,0.25628,1.96939,1.96939,0.00000
2022-10-29 04:30:31,0.26000,1.98232,1.98232,0.00000
2022-10-29 04:30:32,0.26000,1.98232,1.98232,0.00000
