Date,CPU Utilization,Total Power,CPU Power,GPU Power
2022-10-29 08:06:46,0.26000,1.98232,1.98232,0.00000
2022-10-29 08:06:47,0.25250,1.95624,1.95624,0.00000
2022-10-29 08:06:48,0.25879,1.97813,1.97813,0.00000
2022-10-29 08:06:49,0.25628,1.96939,1.96939,0.00000
2022-10-29 08:06:50,0.25879,1.97813,1.97813,0.00000
2022-10-29 08:06:51,0.26131,1.98686,1.98686,0.00000
2022-10-29 08:06:52,0.26010,1.98267,1.98267,0.00000
2022-10-29 08:06:53,0.26000,1.98232,1.98232,0.00000
2022-10-29 08:06:54,0.25758,1.97389,1.97389,0.00000
2022-10-29 08:06:55,0.26000,1.98232,1.98232,0.00000
2022-10-29 08:06:56,0.26010,1.98267,1.98267,0.00000
2022-10-29 08:06:57,0.25750,1.97363,1.97363,0.00000
2022-10-29 08:06:58,0.26131,1.98686,1.98686,0.00000
2022-10-29 08:06:59,0.25879,1.97813,1.97813,0.00000
2022-10-29 08:07:00,0.26000,1.98232,1.98232,0.00000
2022-10-29 08:07:01,0.25879,1.97813,1.97813,0.00000
2022-10-29 08:07:02,0.25758,1.97389,1.97389,0.00000
2022-10-29 08:07:03,0.26000,1.98232,1.98232,0.00000
2022-10-29 08:07:04,0.25879,1.97813,1.97813,0.00000
2022-10-29 08:07:05,0.26010,1.98267,1.98267,0.00000
2022-10-29 08:07:06,0.25879,1.97813,1.97813,0.00000
2022-10-29 08:07:07,0.25750,1.97363,1.97363,0.00000
2022-10-29 08:07:08,0.26010,1.98267,1.98267,0.00000
2022-10-29 08:07:09,0.26000,1.98232,1.98232,0.00000
2022-10-29 08:07:10,0.25879,1.97813,1.97813,0.00000
2022-10-29 08:07:11,0.25879,1.97813,1.97813,0.00000
2022-10-29 08:07:12,0.25879,1.97813,1.97813,0.00000
2022-10-29 08:07:13,0.25628,1.96939,1.96939,0.00000
2022-10-29 08:07:14,0.26131,1.98686,1.98686,0.00000
2022-10-29 08:07:15,0.26131,1.98686,1.98686,0.00000
2022-10-29 08:07:16,0.25879,1.97813,1.97813,0.00000
2022-10-29 08:07:17,0.25879,1.97813,1.97813,0.00000
2022-10-29 08:07:18,0.25879,1.97813,1.97813,0.00000
2022-10-29 08:07:19,0.25879,1.97813,1.97813,0.00000
2022-10-29 08:07:20,0.25879,1.97813,1.97813,0.00000
2022-10-29 08:07:21,0.25750,1.97363,1.97363,0.00000
2022-10-29 08:07:22,0.26010,1.98267,1.98267,0.00000
2022-10-29 08:07:23,0.25750,1.97363,1.97363,0.00000
2022-10-29 08:07:24,0.25505,1.96511,1.96511,0.00000
2022-10-29 08:07:25,0.25628,1.96939,1.96939,0.00000
2022-10-29 08:07:26,0.25750,1.97363,1.97363,0.00000
2022-10-29 08:07:27,0.25758,1.97389,1.97389,0.00000
2022-10-29 08:07:28,0.25750,1.97363,1.97363,0.00000
2022-10-29 08:07:29,0.25879,1.97813,1.97813,0.00000
2022-10-29 08:07:30,0.26131,1.98686,1.98686,0.00000
2022-10-29 08:07:31,0.26010,1.98267,1.98267,0.00000
2022-10-29 08:07:32,0.25628,1.96939,1.96939,0.00000
2022-10-29 08:07:33,0.26131,1.98686,1.98686,0.00000
2022-10-29 08:07:34,0.25879,1.97813,1.97813,0.00000
2022-10-29 08:07:35,0.25879,1.97813,1.97813,0.00000
2022-10-29 08:07:36,0.26010,1.98267,1.98267,0.00000
2022-10-29 08:07:37,0.26131,1.98686,1.98686,0.00000
2022-10-29 08:07:38,0.25628,1.96939,1.96939,0.00000
2022-10-29 08:07:39,0.25879,1.97813,1.97813,0.00000
2022-10-29 08:07:40,0.25879,1.97813,1.97813,0.00000
2022-10-29 08:07:41,0.25750,1.97363,1.97363,0.00000
2022-10-29 08:07:42,0.25879,1.97813,1.97813,0.00000
2022-10-29 08:07:43,0.26010,1.98267,1.98267,0.00000
2022-10-29 08:07:44,0.25750,1.97363,1.97363,0.00000
2022-10-29 08:07:45,0.26131,1.98686,1.98686,0.00000
2022-10-29 08:07:46,0.25879,1.97813,1.97813,0.00000
2022-10-29 08:07:47,0.25879,1.97813,1.97813,0.00000
2022-10-29 08:07:48,0.25879,1.97813,1.97813,0.00000
2022-10-29 08:07:49,0.27136,2.02181,2.02181,0.00000
2022-10-29 08:07:50,0.25750,1.97363,1.97363,0.00000
2022-10-29 08:07:51,0.25879,1.97813,1.97813,0.00000
2022-10-29 08:07:52,0.26276,1.99190,1.99190,0.00000
2022-10-29 08:07:53,0.25750,1.97363,1.97363,0.00000
2022-10-29 08:07:54,0.26131,1.98686,1.98686,0.00000
2022-10-29 08:07:55,0.26131,1.98686,1.98686,0.00000
2022-10-29 08:07:56,0.25628,1.96939,1.96939,0.00000
2022-10-29 08:07:57,0.26010,1.98267,1.98267,0.00000
2022-10-29 08:07:58,0.26131,1.98686,1.98686,0.00000
2022-10-29 08:07:59,0.25628,1.96939,1.96939,0.00000
2022-10-29 08:08:00,0.26010,1.98267,1.98267,0.00000
2022-10-29 08:08:01,0.25628,1.96939,1.96939,0.00000
2022-10-29 08:08:02,0.25250,1.95624,1.95624,0.00000
2022-10-29 08:08:03,0.25758,1.97389,1.97389,0.00000
2022-10-29 08:08:04,0.26131,1.98686,1.98686,0.00000
2022-10-29 08:08:05,0.25628,1.96939,1.96939,0.00000
2022-10-29 08:08:06,0.26250,1.99101,1.99101,0.00000
2022-10-29 08:08:07,0.25758,1.97389,1.97389,0.00000
2022-10-29 08:08:08,0.26010,1.98267,1.98267,0.00000
2022-10-29 08:08:09,0.25750,1.97363,1.97363,0.00000
2022-10-29 08:08:10,0.25879,1.97813,1.97813,0.00000
2022-10-29 08:08:11,0.25879,1.97813,1.97813,0.00000
2022-10-29 08:08:12,0.26000,1.98232,1.98232,0.00000
2022-10-29 08:08:13,0.25750,1.97363,1.97363,0.00000
2022-10-29 08:08:14,0.26131,1.98686,1.98686,0.00000
2022-10-29 08:08:15,0.25628,1.96939,1.96939,0.00000
2022-10-29 08:08:16,0.25758,1.97389,1.97389,0.00000
2022-10-29 08:08:17,0.26131,1.98686,1.98686,0.00000
