Date,CPU Utilization,CPU Power
2022-10-29 05:26:14,0.25253,1.93519
2022-10-29 05:26:15,0.25,1.92641
2022-10-29 05:26:16,0.25126,1.93077
2022-10-29 05:26:17,0.25126,1.92051
2022-10-29 05:26:18,0.25126,1.92051
2022-10-29 05:26:19,0.25,1.90608
2022-10-29 05:26:20,0.25,1.91614
2022-10-29 05:26:21,0.25253,1.92492
2022-10-29 05:26:22,0.25,1.90608
2022-10-29 05:26:23,0.25,1.91614
2022-10-29 05:26:24,0.25,1.91584
2022-10-29 05:26:25,0.25,1.90608
2022-10-29 05:26:26,0.25126,1.92051
2022-10-29 05:26:27,0.25126,1.92051
2022-10-29 05:26:28,0.25126,1.92051
2022-10-29 05:26:29,0.24874,1.89134
2022-10-29 05:26:30,0.25126,1.93077
2022-10-29 05:26:31,0.25126,1.93077
2022-10-29 05:26:32,0.25126,1.92051
2022-10-29 05:26:33,0.25126,1.92051
2022-10-29 05:26:34,0.25,1.91614
2022-10-29 05:26:35,0.25253,1.92492
2022-10-29 05:26:36,0.25,1.91614
2022-10-29 05:26:37,0.2475,1.89698
2022-10-29 05:26:38,0.25253,1.92492
2022-10-29 05:26:39,0.25126,1.91045
2022-10-29 05:26:40,0.25126,1.92051
2022-10-29 05:26:41,0.25126,1.92051
2022-10-29 05:26:42,0.25253,1.92492
2022-10-29 05:26:43,0.25126,1.93077
2022-10-29 05:26:44,0.25,1.90608
2022-10-29 05:26:45,0.25,1.91614
2022-10-29 05:26:46,0.25253,1.92492
2022-10-29 05:26:47,0.25126,1.92051
2022-10-29 05:26:48,0.25126,1.92051
2022-10-29 05:26:49,0.25253,1.92492
2022-10-29 05:26:50,0.25,1.92641
2022-10-29 05:26:51,0.25126,1.91045
2022-10-29 05:26:52,0.25126,1.95192
2022-10-29 05:26:53,0.25126,1.93077
2022-10-29 05:26:54,0.25,1.91614
2022-10-29 05:26:55,0.25126,1.92051
2022-10-29 05:26:56,0.25253,1.92492
2022-10-29 05:26:57,0.25,1.90608
2022-10-29 05:26:58,0.25126,1.92051
2022-10-29 05:26:59,0.25126,1.91045
2022-10-29 05:27:00,0.25126,1.93077
2022-10-29 05:27:01,0.25,1.90608
2022-10-29 05:27:02,0.25253,1.93519
2022-10-29 05:27:03,0.25,1.91614
2022-10-29 05:27:04,0.25126,1.92051
2022-10-29 05:27:05,0.25126,1.92051
2022-10-29 05:27:06,0.25126,1.92051
2022-10-29 05:27:07,0.25126,1.92051
2022-10-29 05:27:08,0.25126,1.92051
2022-10-29 05:27:09,0.25,1.91614
2022-10-29 05:27:10,0.25,1.90567
2022-10-29 05:27:11,0.25,1.91614
2022-10-29 05:27:12,0.25126,1.93077
2022-10-29 05:27:13,0.25126,1.92051
2022-10-29 05:27:14,0.25126,1.91045
2022-10-29 05:27:15,0.25126,1.92051
2022-10-29 05:27:16,0.25,1.91614
2022-10-29 05:27:17,0.25253,1.92492
2022-10-29 05:27:18,0.25126,1.93077
2022-10-29 05:27:19,0.25,1.92641
2022-10-29 05:27:20,0.25,1.8962
2022-10-29 05:27:21,0.25253,1.93519
2022-10-29 05:27:22,0.25,1.90608
2022-10-29 05:27:23,0.25253,1.93519
2022-10-29 05:27:24,0.25126,1.93077
2022-10-29 05:27:25,0.25126,1.92051
2022-10-29 05:27:26,0.25126,1.93077
2022-10-29 05:27:27,0.25,1.90608
2022-10-29 05:27:28,0.25253,1.92492
2022-10-29 05:27:29,0.25253,1.93519
2022-10-29 05:27:30,0.25,1.8962
2022-10-29 05:27:31,0.25253,1.93519
2022-10-29 05:27:32,0.25126,1.91045
2022-10-29 05:27:33,0.25,1.91614
2022-10-29 05:27:34,0.25,1.90608
2022-10-29 05:27:35,0.25253,1.93519
2022-10-29 05:27:36,0.25,1.90608
2022-10-29 05:27:37,0.25126,1.92051
2022-10-29 05:27:38,0.25126,1.92051
2022-10-29 05:27:39,0.25,1.91614
2022-10-29 05:27:40,0.25253,1.92492
2022-10-29 05:27:41,0.25,1.91614
2022-10-29 05:27:42,0.25126,1.92051
2022-10-29 05:27:43,0.25253,1.92492
2022-10-29 05:27:44,0.25126,1.91045
2022-10-29 05:27:45,0.25126,1.93077
2022-10-29 05:27:46,0.25253,1.92492
2022-10-29 05:27:47,0.25,1.91614
2022-10-29 05:27:48,0.25,1.8962
2022-10-29 05:27:49,0.2475,1.89698
2022-10-29 05:27:50,0.25377,1.92955
2022-10-29 05:27:51,0.25126,1.93077
2022-10-29 05:27:52,0.25126,1.92051
2022-10-29 05:27:53,0.24874,1.90131
2022-10-29 05:27:54,0.25126,1.91045
2022-10-29 05:27:55,0.25377,1.93972
2022-10-29 05:27:56,0.25,1.91614
2022-10-29 05:27:57,0.25,1.90567
2022-10-29 05:27:58,0.25,1.91614
2022-10-29 05:27:59,0.25253,1.92492
2022-10-29 05:28:00,0.25126,1.93077
2022-10-29 05:28:01,0.25,1.90567
2022-10-29 05:28:02,0.25,1.91614
2022-10-29 05:28:03,0.25126,1.91045
2022-10-29 05:28:04,0.25126,1.92051
2022-10-29 05:28:05,0.25126,1.91045
2022-10-29 05:28:06,0.25126,1.93077
2022-10-29 05:28:07,0.25126,1.94124
2022-10-29 05:28:08,0.25253,1.92492
2022-10-29 05:28:09,0.25126,1.91045
2022-10-29 05:28:10,0.25126,1.92051
2022-10-29 05:28:11,0.25253,1.93519
2022-10-29 05:28:12,0.25,1.90608
2022-10-29 05:28:13,0.25,1.91614
2022-10-29 05:28:14,0.25126,1.93077
2022-10-29 05:28:15,0.25126,1.92051
2022-10-29 05:28:16,0.25126,1.92051
2022-10-29 05:28:17,0.25126,1.92051
2022-10-29 05:28:18,0.25126,1.91045
2022-10-29 05:28:19,0.25253,1.92492
2022-10-29 05:28:20,0.25126,1.91045
2022-10-29 05:28:21,0.25126,1.93077
2022-10-29 05:28:22,0.25126,1.92051
2022-10-29 05:28:23,0.25,1.91614
2022-10-29 05:28:24,0.25126,1.92051
2022-10-29 05:28:25,0.25126,1.92051
2022-10-29 05:28:26,0.25126,1.92051
2022-10-29 05:28:27,0.25126,1.93077
2022-10-29 05:28:28,0.25,1.90608
2022-10-29 05:28:29,0.25126,1.93077
2022-10-29 05:28:30,0.25126,1.93077
2022-10-29 05:28:31,0.25,1.8962
2022-10-29 05:28:32,0.25126,1.92051
2022-10-29 05:28:33,0.25126,1.93077
2022-10-29 05:28:34,0.25126,1.91045
2022-10-29 05:28:35,0.25,1.91614
2022-10-29 05:28:36,0.25253,1.92492
2022-10-29 05:28:37,0.25126,1.92051
2022-10-29 05:28:38,0.25253,1.93519
2022-10-29 05:28:39,0.2525,1.92514
2022-10-29 05:28:40,0.25253,1.92492
2022-10-29 05:28:41,0.25,1.91614
2022-10-29 05:28:42,0.25126,1.92051
2022-10-29 05:28:43,0.25126,1.91045
2022-10-29 05:28:44,0.25253,1.92492
2022-10-29 05:28:45,0.25,1.94755
2022-10-29 05:28:46,0.25126,1.92051
2022-10-29 05:28:47,0.25126,1.92051
2022-10-29 05:28:48,0.2475,1.88702
2022-10-29 05:28:49,0.25126,1.92051
2022-10-29 05:28:50,0.25505,1.95454
2022-10-29 05:28:51,0.25253,1.92492
