Date,CPU Utilization,CPU Power
2022-10-29 06:33:26,0.25377,1.93972
2022-10-29 06:33:27,0.2475,1.9175
2022-10-29 06:33:28,0.25126,1.94124
2022-10-29 06:33:29,0.25126,1.91045
2022-10-29 06:33:30,0.25381,1.93964
2022-10-29 06:33:31,0.25,1.90608
2022-10-29 06:33:32,0.25,1.91614
2022-10-29 06:33:33,0.25253,1.92492
2022-10-29 06:33:34,0.25,1.91614
2022-10-29 06:33:35,0.25,1.90608
2022-10-29 06:33:36,0.25,1.90608
2022-10-29 06:33:37,0.25126,1.92051
2022-10-29 06:33:38,0.25126,1.92051
2022-10-29 06:33:39,0.25,1.90608
2022-10-29 06:33:40,0.25253,1.93519
2022-10-29 06:33:41,0.25126,1.92051
2022-10-29 06:33:42,0.25126,1.92051
2022-10-29 06:33:43,0.25126,1.92051
2022-10-29 06:33:44,0.25126,1.93077
2022-10-29 06:33:45,0.25,1.90567
2022-10-29 06:33:46,0.25126,1.91045
2022-10-29 06:33:47,0.25126,1.92051
2022-10-29 06:33:48,0.25126,1.92051
2022-10-29 06:33:49,0.25377,1.93972
2022-10-29 06:33:50,0.25126,1.92051
2022-10-29 06:33:51,0.25,1.91614
2022-10-29 06:33:52,0.25253,1.92492
2022-10-29 06:33:53,0.25126,1.92051
2022-10-29 06:33:54,0.25377,1.93972
2022-10-29 06:33:55,0.25126,1.92051
2022-10-29 06:33:56,0.25,1.90608
2022-10-29 06:33:57,0.25126,1.92051
2022-10-29 06:33:58,0.25126,1.92051
2022-10-29 06:33:59,0.25126,1.92051
2022-10-29 06:34:00,0.25126,1.92051
2022-10-29 06:34:01,0.25126,1.92051
2022-10-29 06:34:02,0.25,1.91614
2022-10-29 06:34:03,0.25126,1.92051
2022-10-29 06:34:04,0.25126,1.92051
2022-10-29 06:34:05,0.2525,1.95624
2022-10-29 06:34:06,0.25126,1.92051
2022-10-29 06:34:07,0.24874,1.86256
2022-10-29 06:34:08,0.25126,1.91045
2022-10-29 06:34:09,0.25253,1.92492
2022-10-29 06:34:10,0.25377,1.95008
2022-10-29 06:34:11,0.25126,1.91045
2022-10-29 06:34:12,0.25253,1.93519
2022-10-29 06:34:13,0.25,1.90608
2022-10-29 06:34:14,0.24874,1.90131
2022-10-29 06:34:15,0.25377,1.92955
2022-10-29 06:34:16,0.25126,1.92051
2022-10-29 06:34:17,0.25,1.90608
2022-10-29 06:34:18,0.25253,1.92492
2022-10-29 06:34:19,0.25126,1.92051
2022-10-29 06:34:20,0.25126,1.92051
2022-10-29 06:34:21,0.24874,1.90131
2022-10-29 06:34:22,0.25377,1.93972
2022-10-29 06:34:23,0.25,1.91614
2022-10-29 06:34:24,0.25253,1.92492
2022-10-29 06:34:25,0.25,1.91614
2022-10-29 06:34:26,0.2475,1.89698
2022-10-29 06:34:27,0.25253,1.92492
2022-10-29 06:34:28,0.25253,1.92492
2022-10-29 06:34:29,0.25,1.91614
2022-10-29 06:34:30,0.25253,1.92492
2022-10-29 06:34:31,0.24874,1.90131
2022-10-29 06:34:32,0.25126,1.92051
2022-10-29 06:34:33,0.25,1.91614
2022-10-29 06:34:34,0.25253,1.92492
2022-10-29 06:34:35,0.25126,1.91045
2022-10-29 06:34:36,0.24874,1.89134
2022-10-29 06:34:37,0.25126,1.93077
2022-10-29 06:34:38,0.25253,1.92492
2022-10-29 06:34:39,0.25,1.90608
2022-10-29 06:34:40,0.25253,1.93519
2022-10-29 06:34:41,0.25,1.90567
2022-10-29 06:34:42,0.25,1.92641
2022-10-29 06:34:43,0.25126,1.93077
2022-10-29 06:34:44,0.25126,1.92051
2022-10-29 06:34:45,0.25,1.91614
2022-10-29 06:34:46,0.25253,1.93519
2022-10-29 06:34:47,0.25,1.90608
2022-10-29 06:34:48,0.2525,1.9353
2022-10-29 06:34:49,0.25126,1.92051
2022-10-29 06:34:50,0.24874,1.89134
2022-10-29 06:34:51,0.25253,1.93519
2022-10-29 06:34:52,0.25126,1.92051
2022-10-29 06:34:53,0.25126,1.92051
2022-10-29 06:34:54,0.25126,1.92051
2022-10-29 06:34:55,0.25126,1.92051
2022-10-29 06:34:56,0.25126,1.92051
2022-10-29 06:34:57,0.25126,1.92051
2022-10-29 06:34:58,0.25126,1.92051
2022-10-29 06:34:59,0.25505,1.94417
2022-10-29 06:35:00,0.25126,1.93077
2022-10-29 06:35:01,0.25126,1.92051
2022-10-29 06:35:02,0.25126,1.92051
2022-10-29 06:35:03,0.25126,1.93077
2022-10-29 06:35:04,0.25126,1.91045
2022-10-29 06:35:05,0.25377,1.93972
2022-10-29 06:35:06,0.25126,1.92051
2022-10-29 06:35:07,0.25126,1.92051
2022-10-29 06:35:08,0.25126,1.92051
2022-10-29 06:35:09,0.25,1.90608
2022-10-29 06:35:10,0.25253,1.92492
2022-10-29 06:35:11,0.25126,1.92051
2022-10-29 06:35:12,0.25126,1.92051
2022-10-29 06:35:13,0.25253,1.93519
2022-10-29 06:35:14,0.25126,1.92051
2022-10-29 06:35:15,0.25253,1.92492
2022-10-29 06:35:16,0.25505,1.94417
2022-10-29 06:35:17,0.25,1.91614
2022-10-29 06:35:18,0.25126,1.91045
2022-10-29 06:35:19,0.25126,1.93077
2022-10-29 06:35:20,0.25,1.93687
2022-10-29 06:35:21,0.25,1.92641
2022-10-29 06:35:22,0.25253,1.93519
2022-10-29 06:35:23,0.25,1.91614
2022-10-29 06:35:24,0.25126,1.92051
2022-10-29 06:35:25,0.25253,1.87646
2022-10-29 06:35:26,0.25,1.91614
2022-10-29 06:35:27,0.25253,1.92492
2022-10-29 06:35:29,0.25,1.90608
2022-10-29 06:35:30,0.25253,1.92492
2022-10-29 06:35:31,0.25126,1.92051
2022-10-29 06:35:32,0.25126,1.92051
2022-10-29 06:35:33,0.25,1.90608
2022-10-29 06:35:34,0.25126,1.92051
2022-10-29 06:35:35,0.25126,1.92051
2022-10-29 06:35:36,0.25126,1.92051
2022-10-29 06:35:37,0.25126,1.92051
2022-10-29 06:35:38,0.25126,1.92051
2022-10-29 06:35:39,0.25126,1.92051
2022-10-29 06:35:40,0.2525,1.92514
2022-10-29 06:35:41,0.25126,1.92051
2022-10-29 06:35:42,0.25253,1.93519
2022-10-29 06:35:43,0.25126,1.93077
2022-10-29 06:35:44,0.25377,1.92955
2022-10-29 06:35:45,0.25126,1.92051
2022-10-29 06:35:46,0.25,1.91614
2022-10-29 06:35:47,0.25,1.91614
2022-10-29 06:35:48,0.25126,1.92051
2022-10-29 06:35:49,0.25126,1.92051
2022-10-29 06:35:50,0.25126,1.92051
2022-10-29 06:35:51,0.25,1.90608
2022-10-29 06:35:52,0.25253,1.92492
2022-10-29 06:35:53,0.25,1.90608
2022-10-29 06:35:54,0.25126,1.92051
2022-10-29 06:35:55,0.25126,1.91045
2022-10-29 06:35:56,0.25126,1.93077
2022-10-29 06:35:57,0.25126,1.92051
2022-10-29 06:35:58,0.25,1.92641
2022-10-29 06:35:59,0.25126,1.94124
2022-10-29 06:36:00,0.25126,1.92051
2022-10-29 06:36:01,0.25126,1.92051
2022-10-29 06:36:02,0.2475,1.89698
2022-10-29 06:36:03,0.25126,1.91045
2022-10-29 06:36:04,0.25126,1.92051
2022-10-29 06:36:05,0.25,1.91614
2022-10-29 06:36:06,0.25253,1.92492
2022-10-29 06:36:07,0.25253,1.92492
2022-10-29 06:36:08,0.25,1.91614
2022-10-29 06:36:09,0.25,1.90608
2022-10-29 06:36:10,0.25253,1.92492
2022-10-29 06:36:11,0.25,1.91614
2022-10-29 06:36:12,0.2475,1.89698
2022-10-29 06:36:13,0.25126,1.92051
2022-10-29 06:36:14,0.25126,1.92051
2022-10-29 06:36:15,0.25126,1.92051
2022-10-29 06:36:16,0.25126,1.92051
2022-10-29 06:36:17,0.25253,1.92492
2022-10-29 06:36:18,0.25,1.91614
2022-10-29 06:36:19,0.25126,1.91045
2022-10-29 06:36:20,0.25126,1.92051
2022-10-29 06:36:21,0.25,1.91614
2022-10-29 06:36:22,0.25126,1.92051
2022-10-29 06:36:23,0.25253,1.92492
2022-10-29 06:36:24,0.25253,1.93519
2022-10-29 06:36:25,0.25126,1.92051
2022-10-29 06:36:26,0.25253,1.92492
2022-10-29 06:36:27,0.25253,1.92492
2022-10-29 06:36:28,0.25,1.91614
2022-10-29 06:36:29,0.25126,1.92051
2022-10-29 06:36:30,0.25,1.90608
2022-10-29 06:36:31,0.25253,1.8953
2022-10-29 06:36:32,0.25,1.90608
2022-10-29 06:36:33,0.25253,1.92492
2022-10-29 06:36:34,0.25,1.90608
2022-10-29 06:36:35,0.25253,1.93519
2022-10-29 06:36:36,0.25,1.92641
2022-10-29 06:36:37,0.25126,1.93077
2022-10-29 06:36:38,0.25,1.91614
2022-10-29 06:36:39,0.25505,1.95454
2022-10-29 06:36:40,0.25,1.90608
2022-10-29 06:36:41,0.25,1.91614
2022-10-29 06:36:42,0.25126,1.92051
2022-10-29 06:36:43,0.25,1.8962
2022-10-29 06:36:44,0.25126,1.93077
2022-10-29 06:36:45,0.25126,1.92051
2022-10-29 06:36:46,0.25126,1.92051
2022-10-29 06:36:47,0.25126,1.92051
2022-10-29 06:36:48,0.25126,1.92051
2022-10-29 06:36:49,0.25126,1.92051
2022-10-29 06:36:50,0.25126,1.93077
2022-10-29 06:36:51,0.25,1.8962
2022-10-29 06:36:52,0.25126,1.93077
2022-10-29 06:36:53,0.25,1.8962
2022-10-29 06:36:54,0.25126,1.93077
2022-10-29 06:36:55,0.25126,1.92051
2022-10-29 06:36:56,0.25126,1.92051
2022-10-29 06:36:57,0.25253,1.93519
2022-10-29 06:36:58,0.25126,1.93077
2022-10-29 06:36:59,0.25,1.90608
2022-10-29 06:37:00,0.25253,1.93519
2022-10-29 06:37:01,0.25,1.90608
2022-10-29 06:37:02,0.25,1.90608
2022-10-29 06:37:03,0.25126,1.92051
2022-10-29 06:37:04,0.25126,1.92051
2022-10-29 06:37:05,0.25253,1.93519
2022-10-29 06:37:06,0.25,1.90608
2022-10-29 06:37:07,0.25253,1.92492
2022-10-29 06:37:08,0.25126,1.92051
2022-10-29 06:37:09,0.25253,1.93519
2022-10-29 06:37:10,0.25,1.90608
2022-10-29 06:37:11,0.25126,1.92051
2022-10-29 06:37:12,0.25,1.90608
2022-10-29 06:37:13,0.25253,1.92492
2022-10-29 06:37:14,0.25,1.92641
2022-10-29 06:37:15,0.25,1.91614
2022-10-29 06:37:16,0.25253,1.93519
2022-10-29 06:37:17,0.25253,1.93519
2022-10-29 06:37:18,0.25,1.90608
2022-10-29 06:37:19,0.25,1.91614
2022-10-29 06:37:20,0.25253,1.92492
2022-10-29 06:37:21,0.25,1.91614
2022-10-29 06:37:22,0.25126,1.91045
2022-10-29 06:37:23,0.25,1.91614
2022-10-29 06:37:24,0.25126,1.91045
2022-10-29 06:37:25,0.25126,1.92051
2022-10-29 06:37:26,0.25,1.91614
2022-10-29 06:37:27,0.25,1.91614
2022-10-29 06:37:28,0.25253,1.92492
2022-10-29 06:37:29,0.25,1.90608
2022-10-29 06:37:30,0.25,1.91614
2022-10-29 06:37:31,0.25253,1.92492
2022-10-29 06:37:32,0.25253,1.93519
2022-10-29 06:37:33,0.25,1.91614
2022-10-29 06:37:34,0.25126,1.93077
2022-10-29 06:37:35,0.25126,1.92051
2022-10-29 06:37:36,0.25126,1.92051
2022-10-29 06:37:37,0.25,1.91614
2022-10-29 06:37:38,0.25253,1.92492
2022-10-29 06:37:39,0.2475,1.88702
2022-10-29 06:37:40,0.25253,1.93519
2022-10-29 06:37:41,0.25126,1.92051
2022-10-29 06:37:42,0.25126,1.92051
2022-10-29 06:37:43,0.25126,1.92051
2022-10-29 06:37:44,0.25126,1.91045
2022-10-29 06:37:45,0.25126,1.93077
2022-10-29 06:37:46,0.25126,1.91045
2022-10-29 06:37:47,0.25126,1.91045
2022-10-29 06:37:48,0.25126,1.92051
2022-10-29 06:37:49,0.25505,1.91425
2022-10-29 06:37:50,0.25,1.91614
2022-10-29 06:37:51,0.25126,1.91045
2022-10-29 06:37:52,0.25253,1.95633
2022-10-29 06:37:53,0.25,1.91614
2022-10-29 06:37:54,0.25,1.92641
2022-10-29 06:37:55,0.25253,1.92492
2022-10-29 06:37:56,0.2475,1.88702
2022-10-29 06:37:57,0.25,1.91614
2022-10-29 06:37:58,0.25126,1.92051
2022-10-29 06:37:59,0.25377,1.93972
2022-10-29 06:38:00,0.25,1.90608
2022-10-29 06:38:01,0.25253,1.93519
2022-10-29 06:38:02,0.25253,1.92492
2022-10-29 06:38:03,0.25,1.91614
2022-10-29 06:38:04,0.25126,1.91045
2022-10-29 06:38:05,0.25126,1.92051
2022-10-29 06:38:06,0.25,1.91614
2022-10-29 06:38:07,0.25,1.90608
2022-10-29 06:38:08,0.25253,1.93519
2022-10-29 06:38:09,0.25,1.90608
2022-10-29 06:38:10,0.25126,1.91045
2022-10-29 06:38:11,0.25253,1.92492
2022-10-29 06:38:12,0.25,1.90567
2022-10-29 06:38:13,0.25,1.91614
2022-10-29 06:38:14,0.25126,1.92051
2022-10-29 06:38:15,0.25377,1.92955
2022-10-29 06:38:16,0.25,1.91614
2022-10-29 06:38:17,0.2525,1.9353
2022-10-29 06:38:18,0.24874,1.89134
2022-10-29 06:38:19,0.25126,1.93077
2022-10-29 06:38:20,0.25126,1.92051
2022-10-29 06:38:21,0.25253,1.92492
2022-10-29 06:38:22,0.25126,1.91045
2022-10-29 06:38:23,0.25,1.91614
2022-10-29 06:38:24,0.25126,1.92051
2022-10-29 06:38:25,0.25126,1.92051
2022-10-29 06:38:26,0.25,1.91614
2022-10-29 06:38:27,0.25,1.92641
2022-10-29 06:38:28,0.25126,1.92051
2022-10-29 06:38:29,0.25126,1.92051
2022-10-29 06:38:30,0.25,1.94755
2022-10-29 06:38:31,0.25126,1.92051
2022-10-29 06:38:32,0.25505,1.94417
2022-10-29 06:38:33,0.25253,1.92492
2022-10-29 06:38:34,0.25,1.91614
2022-10-29 06:38:35,0.25253,1.92492
2022-10-29 06:38:36,0.25126,1.93077
2022-10-29 06:38:37,0.25126,1.91045
2022-10-29 06:38:38,0.25126,1.93077
2022-10-29 06:38:39,0.25253,1.92492
2022-10-29 06:38:40,0.25,1.90608
2022-10-29 06:38:41,0.25126,1.92051
2022-10-29 06:38:42,0.25,1.91614
2022-10-29 06:38:43,0.25126,1.92051
2022-10-29 06:38:44,0.25126,1.91045
2022-10-29 06:38:45,0.25,1.91614
2022-10-29 06:38:46,0.25126,1.92051
2022-10-29 06:38:47,0.25,1.90608
2022-10-29 06:38:48,0.25253,1.93519
2022-10-29 06:38:49,0.25,1.91614
2022-10-29 06:38:50,0.25253,1.92492
2022-10-29 06:38:51,0.25126,1.92051
2022-10-29 06:38:52,0.25126,1.92051
2022-10-29 06:38:53,0.25126,1.92051
2022-10-29 06:38:54,0.25126,1.92051
2022-10-29 06:38:55,0.25,1.90608
2022-10-29 06:38:56,0.25253,1.92492
2022-10-29 06:38:57,0.25126,1.92051
2022-10-29 06:38:58,0.25126,1.92051
2022-10-29 06:38:59,0.25126,1.92051
2022-10-29 06:39:00,0.25126,1.92051
2022-10-29 06:39:01,0.25126,1.91045
2022-10-29 06:39:02,0.25126,1.92051
2022-10-29 06:39:03,0.25,1.90608
2022-10-29 06:39:04,0.25126,1.92051
2022-10-29 06:39:05,0.25126,1.93077
