Date,CPU Utilization,Total Power,CPU Power,GPU Power
2022-10-29 03:33:53,0.25879,1.97813,1.97813,0.00000
2022-10-29 03:33:54,0.25628,1.96939,1.96939,0.00000
2022-10-29 03:33:55,0.25377,1.96065,1.96065,0.00000
2022-10-29 03:33:56,0.26000,1.98232,1.98232,0.00000
2022-10-29 03:33:57,0.26010,1.98267,1.98267,0.00000
2022-10-29 03:33:58,0.26010,1.98267,1.98267,0.00000
2022-10-29 03:33:59,0.25750,1.97363,1.97363,0.00000
2022-10-29 03:34:00,0.25879,1.97813,1.97813,0.00000
2022-10-29 03:34:01,0.25758,1.97389,1.97389,0.00000
2022-10-29 03:34:02,0.25750,1.97363,1.97363,0.00000
2022-10-29 03:34:03,0.25879,1.97813,1.97813,0.00000
2022-10-29 03:34:04,0.26131,1.98686,1.98686,0.00000
2022-10-29 03:34:05,0.25500,1.96493,1.96493,0.00000
2022-10-29 03:34:06,0.26131,1.98686,1.98686,0.00000
2022-10-29 03:34:07,0.25758,1.97389,1.97389,0.00000
2022-10-29 03:34:08,0.25879,1.97813,1.97813,0.00000
2022-10-29 03:34:09,0.25879,1.97813,1.97813,0.00000
2022-10-29 03:34:10,0.25879,1.97813,1.97813,0.00000
2022-10-29 03:34:11,0.26000,1.98232,1.98232,0.00000
2022-10-29 03:34:12,0.25758,1.97389,1.97389,0.00000
2022-10-29 03:34:13,0.26768,2.00902,2.00902,0.00000
2022-10-29 03:34:14,0.25879,1.97813,1.97813,0.00000
2022-10-29 03:34:15,0.26131,1.98686,1.98686,0.00000
2022-10-29 03:34:16,0.25750,1.97363,1.97363,0.00000
2022-10-29 03:34:17,0.25879,1.97813,1.97813,0.00000
2022-10-29 03:34:18,0.26000,1.98232,1.98232,0.00000
2022-10-29 03:34:19,0.25628,1.96939,1.96939,0.00000
2022-10-29 03:34:20,0.26250,1.99101,1.99101,0.00000
2022-10-29 03:34:21,0.25879,1.97813,1.97813,0.00000
2022-10-29 03:34:22,0.25628,1.96939,1.96939,0.00000
2022-10-29 03:34:23,0.26000,1.98232,1.98232,0.00000
2022-10-29 03:34:24,0.25758,1.97389,1.97389,0.00000
2022-10-29 03:34:25,0.25628,1.96939,1.96939,0.00000
2022-10-29 03:34:26,0.26000,1.98232,1.98232,0.00000
2022-10-29 03:34:27,0.26010,1.98267,1.98267,0.00000
2022-10-29 03:34:28,0.25758,1.97389,1.97389,0.00000
2022-10-29 03:34:29,0.26000,1.98232,1.98232,0.00000
2022-10-29 03:34:30,0.26010,1.98267,1.98267,0.00000
2022-10-29 03:34:31,0.26131,1.98686,1.98686,0.00000
2022-10-29 03:34:32,0.25000,1.94755,1.94755,0.00000
2022-10-29 03:34:33,0.25750,1.97363,1.97363,0.00000
2022-10-29 03:34:34,0.26010,1.98267,1.98267,0.00000
2022-10-29 03:34:35,0.26000,1.98232,1.98232,0.00000
2022-10-29 03:34:36,0.25750,1.97363,1.97363,0.00000
2022-10-29 03:34:37,0.25758,1.97389,1.97389,0.00000
2022-10-29 03:34:38,0.26131,1.98686,1.98686,0.00000
2022-10-29 03:34:39,0.25879,1.97813,1.97813,0.00000
2022-10-29 03:34:40,0.25879,1.97813,1.97813,0.00000
2022-10-29 03:34:41,0.25879,1.97813,1.97813,0.00000
